@RELATION  Words

@ATTRIBUTE word     string
@ATTRIBUTE file     string
@ATTRIBUTE Freq.    NUMERIC

@DATA
",",881_male,0.0646551724138
"the",881_male,0.026724137931
".",881_male,0.0206896551724
"to",881_male,0.0301724137931
"and",881_male,0.0293103448276
"a",881_male,0.0172413793103
"of",881_male,0.0163793103448
"in",881_male,0.0146551724138
"I",881_male,0.0344827586207
"that",881_male,0.0137931034483
"'s",881_male,0.0120689655172
"is",881_male,0.00689655172414
"it",881_male,0.00689655172414
"for",881_male,0.00948275862069
"was",881_male,0.0051724137931
"on",881_male,0.0051724137931
"``",881_male,0.0
"with",881_male,0.00603448275862
"-",881_male,0.00603448275862
"you",881_male,0.0310344827586
"''",881_male,0.0
"be",881_male,0.00258620689655
"have",881_male,0.00775862068966
"as",881_male,0.0051724137931
"?",881_male,0.00603448275862
"are",881_male,0.00344827586207
"at",881_male,0.0051724137931
"from",881_male,0.00258620689655
"not",881_male,0.00258620689655
"but",881_male,0.00431034482759
"this",881_male,0.00862068965517
"by",881_male,0.0
"The",881_male,0.00172413793103
"n't",881_male,0.00689655172414
"has",881_male,0.00344827586207
"we",881_male,0.000862068965517
"or",881_male,0.00603448275862
"who",881_male,0.00258620689655
"he",881_male,0.000862068965517
"my",881_male,0.00344827586207
"about",881_male,0.00172413793103
"an",881_male,0.00344827586207
"do",881_male,0.0112068965517
"they",881_male,0.00172413793103
"his",881_male,0.00172413793103
"all",881_male,0.00689655172414
")",881_male,0.0
"(",881_male,0.0
"which",881_male,0.0
"so",881_male,0.00431034482759
",",893_male,0.050619278406
"the",893_male,0.0280021540118
".",893_male,0.0296176628971
"to",893_male,0.025309639203
"and",893_male,0.0215401184707
"a",893_male,0.0172320947765
"of",893_male,0.0269251480883
"in",893_male,0.0145395799677
"I",893_male,0.0258481421648
"that",893_male,0.0134625740442
"'s",893_male,0.00969305331179
"is",893_male,0.00592353257943
"it",893_male,0.00592353257943
"for",893_male,0.0064620355412
"was",893_male,0.0134625740442
"on",893_male,0.0064620355412
"``",893_male,0.0150780829295
"with",893_male,0.0107700592353
"-",893_male,0.00107700592353
"you",893_male,0.00430802369413
"''",893_male,0.0150780829295
"be",893_male,0.00215401184707
"have",893_male,0.00107700592353
"as",893_male,0.00753904146473
"?",893_male,0.0032310177706
"are",893_male,0.00592353257943
"at",893_male,0.0032310177706
"from",893_male,0.0032310177706
"not",893_male,0.0032310177706
"but",893_male,0.0032310177706
"this",893_male,0.00215401184707
"by",893_male,0.0032310177706
"The",893_male,0.00107700592353
"n't",893_male,0.00538502961766
"has",893_male,0.00107700592353
"we",893_male,0.00215401184707
"or",893_male,0.0064620355412
"who",893_male,0.00269251480883
"he",893_male,0.0
"my",893_male,0.00915455035003
"about",893_male,0.0032310177706
"an",893_male,0.0032310177706
"do",893_male,0.00430802369413
"they",893_male,0.0032310177706
"his",893_male,0.0
"all",893_male,0.00430802369413
")",893_male,0.000538502961766
"(",893_male,0.000538502961766
"which",893_male,0.00269251480883
"so",893_male,0.0032310177706
",",296_female,0.0395209580838
"the",296_female,0.0526946107784
".",296_female,0.0179640718563
"to",296_female,0.0287425149701
"and",296_female,0.0167664670659
"a",296_female,0.0215568862275
"of",296_female,0.0251497005988
"in",296_female,0.0203592814371
"I",296_female,0.00119760479042
"that",296_female,0.00958083832335
"'s",296_female,0.0059880239521
"is",296_female,0.00838323353293
"it",296_female,0.00718562874251
"for",296_female,0.0107784431138
"was",296_female,0.00479041916168
"on",296_female,0.00838323353293
"``",296_female,0.0
"with",296_female,0.0107784431138
"-",296_female,0.00958083832335
"you",296_female,0.00119760479042
"''",296_female,0.0
"be",296_female,0.0059880239521
"have",296_female,0.00479041916168
"as",296_female,0.0107784431138
"?",296_female,0.00359281437126
"are",296_female,0.00239520958084
"at",296_female,0.00479041916168
"from",296_female,0.0059880239521
"not",296_female,0.0059880239521
"but",296_female,0.00239520958084
"this",296_female,0.0
"by",296_female,0.00479041916168
"The",296_female,0.00119760479042
"n't",296_female,0.00958083832335
"has",296_female,0.0
"we",296_female,0.00838323353293
"or",296_female,0.00718562874251
"who",296_female,0.00119760479042
"he",296_female,0.0
"my",296_female,0.0
"about",296_female,0.00359281437126
"an",296_female,0.00359281437126
"do",296_female,0.00119760479042
"they",296_female,0.00239520958084
"his",296_female,0.0
"all",296_female,0.00359281437126
")",296_female,0.00119760479042
"(",296_female,0.00119760479042
"which",296_female,0.00239520958084
"so",296_female,0.00119760479042
",",403_female,0.0541727672035
"the",403_female,0.0483162518302
".",403_female,0.0175695461201
"to",403_female,0.0351390922401
"and",403_female,0.0351390922401
"a",403_female,0.0234260614934
"of",403_female,0.0248901903367
"in",403_female,0.0161054172767
"I",403_female,0.0117130307467
"that",403_female,0.0117130307467
"'s",403_female,0.00146412884334
"is",403_female,0.01317715959
"it",403_female,0.00292825768668
"for",403_female,0.0190336749634
"was",403_female,0.00146412884334
"on",403_female,0.00439238653001
"``",403_female,0.00146412884334
"with",403_female,0.00732064421669
"-",403_female,0.0146412884334
"you",403_female,0.00439238653001
"''",403_female,0.00146412884334
"be",403_female,0.0117130307467
"have",403_female,0.00146412884334
"as",403_female,0.00439238653001
"?",403_female,0.0
"are",403_female,0.00585651537335
"at",403_female,0.0
"from",403_female,0.00292825768668
"not",403_female,0.00732064421669
"but",403_female,0.00292825768668
"this",403_female,0.00292825768668
"by",403_female,0.00292825768668
"The",403_female,0.00732064421669
"n't",403_female,0.0
"has",403_female,0.0
"we",403_female,0.0
"or",403_female,0.0102489019034
"who",403_female,0.00732064421669
"he",403_female,0.0
"my",403_female,0.00146412884334
"about",403_female,0.00439238653001
"an",403_female,0.00146412884334
"do",403_female,0.0
"they",403_female,0.00146412884334
"his",403_female,0.0
"all",403_female,0.00585651537335
")",403_female,0.00146412884334
"(",403_female,0.00146412884334
"which",403_female,0.00439238653001
"so",403_female,0.0
",",525_female,0.025641025641
"the",525_female,0.040293040293
".",525_female,0.018315018315
"to",525_female,0.025641025641
"and",525_female,0.021978021978
"a",525_female,0.018315018315
"of",525_female,0.018315018315
"in",525_female,0.010989010989
"I",525_female,0.00732600732601
"that",525_female,0.014652014652
"'s",525_female,0.0
"is",525_female,0.014652014652
"it",525_female,0.00732600732601
"for",525_female,0.00732600732601
"was",525_female,0.0
"on",525_female,0.010989010989
"``",525_female,0.0
"with",525_female,0.00732600732601
"-",525_female,0.018315018315
"you",525_female,0.010989010989
"''",525_female,0.0
"be",525_female,0.00732600732601
"have",525_female,0.014652014652
"as",525_female,0.0
"?",525_female,0.0
"are",525_female,0.010989010989
"at",525_female,0.00732600732601
"from",525_female,0.003663003663
"not",525_female,0.00732600732601
"but",525_female,0.00732600732601
"this",525_female,0.00732600732601
"by",525_female,0.003663003663
"The",525_female,0.0
"n't",525_female,0.0
"has",525_female,0.010989010989
"we",525_female,0.0
